,FORMULA,T (K),Cp (J/molK)
2167,Mg1O3Si1,903.0,119.788
3656,I1K1,500.0,55.363
2481,N0.465V1,1600.0,49.643
438,B2Be3O6,2100.0,317.649
4118,O2.72W1,2200.0,110.792
3263,O4Pb3,300.0,155.344
787,C1K1N1,1800.0,66.865
2329,F1K1,1300.0,68.618
3438,O5Ti3,800.0,210.037
219,Br3Zr1,1600.0,106.441
2511,Mg2O4Ti1,1500.0,202.614
4299,O4Pb2Si1,600.0,173.343
2125,K2O4S1,1000.0,226.116
339,Br2Hg2,900.0,120.416
2531,K1O2,800.0,93.22
91,B2Mg1,1100.0,74.078
1060,Br1Na1,1500.0,67.345
1913,Fe1S1,1463.0,74.93
1547,F1Na1,700.0,54.124
1795,Fe1,900.0,43.095
3861,N4Si3,1500.0,178.657
2683,Na2O3Si1,2000.0,203.489
3574,Cu1,298.0,24.442
603,Br1H4N1,298.0,88.676
3132,Nb1,2700.0,42.283
42,Al1Cl4K1,600.0,183.176
3413,Na2O5Si2,1500.0,292.88
1091,Cr2O3,1300.0,130.411
4408,S1,500.0,26.945
4480,V1,2300.0,46.254
3606,F1Li1,1400.0,66.445
3182,O3Ti2,800.0,142.967
4267,O3V2,2000.0,169.468
668,Br4Ti1,1300.0,133.779
58,Al2Be1O4,1300.0,181.67
1869,Fe1H3O3,400.0,117.989
2040,I2Sr1,811.0,92.048
1744,Hg1O1,600.0,54.12
733,Ba1F2,800.0,84.935
2825,Li2O2,1500.0,144.766
2873,Al2Mg1O4,1300.0,190.828
540,Al1Cl1O1,1400.0,81.672
1503,Be1Cl2,800.0,82.257
343,Br2Hg2,500.0,113.052
347,B1H3O3,298.0,81.337
1901,Al1I3,900.0,127.901
3011,Na2O1,1000.0,94.918
1769,Be3N2,1100.0,125.52
1707,F2H1K1,1400.0,100.249
3748,Mg1,900.0,31.895
4512,W1,4000.0,83.68
4477,V1,2600.0,52.028
1772,Be3N2,800.0,117.591
3260,O4Pb3,600.0,190.79
3718,Li2O5Si2,1700.0,259.617
1152,Cl1Li1,1400.0,72.53399999999999
1045,Cu1O1,1100.0,56.135
2156,Mg1O3Si1,1800.0,122.432
3225,Nb1O2,1000.0,87.5
1983,H4I1N1,1300.0,152.03
3325,O4V2,1900.0,179.27599999999998
2158,Mg1O3Si1,1600.0,122.432
86,B2Mg1,1600.0,85.98100000000001
328,Al1,600.0,27.886
1406,Co1F2,300.0,69.041
3918,Na2S1,1445.0,133.888
4385,Pb1S1,1500.0,60.877
1457,Cl1Li1O4,500.0,143.511
633,Al1F6Li3,748.0,279.073
2612,Mo1S2,500.0,71.756
3219,Nb1O2,1200.0,92.885
1213,F2Hg1,500.0,79.078
55,Al2Be1O4,1600.0,188.41
334,Br2Hg2,1400.0,125.143
4487,V1,1700.0,37.028
1461,Cl2Cu1,1300.0,84.19
1862,Fe1H3O3,1100.0,168.40599999999998
1446,Cl1Li1O4,298.0,105.018
509,C0.98Nb1,300.0,36.38
3178,O3Ti2,1200.0,148.532
2866,Al2Mg1O4,2000.0,216.982
4212,O2Ti1,1200.0,76.191
1291,Fe1O1,1400.0,62.76
1149,Cl1Li1,1700.0,78.73100000000001
4224,O2Zr1,3300.0,74.475
3101,Nb1O1,800.0,49.467
3114,F2Mg1,1500.0,83.46700000000001
267,B1Ti1,1900.0,53.262
3874,N5P3,298.0,148.95
2742,Cu2O5S1,1200.0,221.752
3432,O5Ti3,1400.0,224.262
3736,Mg1,298.0,24.869
2098,Ca1S1,2800.0,61.045
711,Be1O4S1,700.0,137.988
1752,Be3N2,2700.0,129.659
799,C1K1N1,700.0,66.431
510,C0.98Nb1,298.0,36.233
456,B2Be3O6,300.0,140.415
2094,H2O4W1,300.0,112.968
4127,O2.72W1,1300.0,99.286
1878,I1Li1,1800.0,76.191
1873,I1Li1,2300.0,76.191
1780,Fe1,1900.0,43.472
1696,H1Li1,700.0,51.877
1784,Fe1,1665.0,41.112
1190,Cl1Na1,900.0,61.869
2729,Mg1S1,1100.0,52.347
1568,Fe3O4,2300.0,200.832
1379,Al1Li1O2,1200.0,105.198
591,Br1H4N1,1200.0,161.502
4233,O2Zr1,2500.0,74.475
4300,O4Pb2Si1,500.0,163.762
1405,Co1F2,400.0,75.714
1841,Cr1N1,2000.0,59.831
1273,Cl2Hg2,1300.0,125.169
4076,O1Sr1,1300.0,58.379
4396,Pb1S1,400.0,50.459
506,C0.98Nb1,600.0,47.363
941,Cu1F2,1400.0,93.847
213,Al1Br3,400.0,117.78
670,Br4Ti1,1100.0,133.779
2764,K2O2,700.0,127.952
4060,O1Sr1,2900.0,69.17399999999999
1385,Al1Li1O2,600.0,92.688
439,B2Be3O6,2000.0,315.474
2045,I2Sr1,400.0,80.751
3412,Na2O5Si2,1600.0,292.88
4529,W1,2400.0,34.233000000000004
865,C1Be2,1200.0,81.797
4323,O4S1Zn1,400.0,116.022
1699,H1Li1,400.0,34.794000000000004
2049,C1K2O3,1900.0,273.29900000000004
3258,O4Pb3,800.0,199.158
4020,Ni3S4,800.0,236.906
2960,N1V1,298.0,37.981
3863,N4Si3,1300.0,172.53099999999998
4390,Pb1S1,1000.0,56.191
545,Al1Cl1O1,900.0,78.168
2112,Ca1S1,1400.0,55.731
3284,O3W1,1100.0,98.963
1768,Be3N2,1200.0,126.922
4393,Pb1S1,700.0,53.346
459,Al1Cl4Na1,800.0,193.51
1402,Co1F2,700.0,82.015
2814,I3Ti1,900.0,121.152
120,B1H4Na1,1400.0,133.135
4544,W1,900.0,27.112
3651,I1K1,954.0,67.594
2566,C1Na2O3,723.15,193.385
1643,Cl1Na1O4,1100.0,191.962
2754,K2O2,1700.0,188.916
1332,Co1,300.0,24.833
3902,Na2O2,1000.0,113.596
863,C1Be2,1400.0,87.27799999999999
3916,Na2S1,1600.0,133.888
4217,O2Ti1,700.0,72.655
2005,Hf1,1500.0,35.765
1530,F1Na1,2300.0,71.128
4251,O2Zr1,900.0,74.663
2489,N0.465V1,800.0,39.765
2119,Ca1S1,700.0,52.342
1957,I4Zr1,500.0,133.009
3851,N4Si3,2500.0,187.025
119,B1H4Na1,1500.0,133.30200000000002
4168,O2Pb1,1000.0,79.301
671,Br4Ti1,1000.0,133.779
2730,Mg1S1,1000.0,51.882
1027,Co1O4S1,964.0,156.792
3433,O5Ti3,1300.0,222.58900000000003
264,B1Ti1,2200.0,53.664
2427,Al1Na1O2,1000.0,102.299
4278,O3V2,900.0,135.246
2269,I4Ti1,379.0,148.114
1804,Fe1,298.0,25.094
1850,Cr1N1,1100.0,53.723
1496,Be1Cl2,298.0,64.852
2726,Mg1S1,1400.0,53.681
1130,Cr2N1,1800.0,112.508
2140,I2Mg1,907.0,87.86399999999999
2142,I2Mg1,800.0,86.274
1595,H1Na1O1,1100.0,86.023
3373,O2.90W1,298.0,71.37899999999999
1495,Fe0.947O1,298.0,48.11600000000001
1028,Co1O4S1,964.0,157.221
4573,Zr1,900.0,30.003
4433,S1Sr1,1100.0,56.777
37,Be1F3Li1,300.0,92.048
